State,Index
Chandigarh,0
Arunachal Pradesh,1
Odisha,2
Manipur,3
Rajasthan,4
Bihar,5
Telangana,6
Puducherry,7
Lakshadweep,8
Ladakh,9
Kerala,10
Andaman and Nicobar Islands,11
Maharashtra,12
Uttar Pradesh,13
Mizoram,14
Uttarakhand,15
Andhra Pradesh,16
Haryana,17
Dadra and Nagar Haveli,18
Himachal Pradesh,19
Karnataka,20
Jammu and Kashmir,21
Chhattisgarh,22
Meghalaya,23
Delhi,24
Tripura,25
West Bengal,26
Assam,27
Madhya Pradesh,28
Nagaland,29
Goa,30
Daman and Diu,31
Jharkhand,32
Sikkim,33
Tamil Nadu,34
Gujarat,35
Punjab,36
