Year,Forest,Barren,Others,Fallow,Cropped
2000,6199225,4704988,1669609,3728713,13545133
2001,6199225,4725606,1653684,4428870,12756360
2002,6199225,4763895,1653745,5185643,11558629
2003,6199225,4752295,1653745,4693498,12366370
2004,6199225,4668457,1648285,4469341,12518548
2005,6199225,4769728,1645843,4057214,13362084
2006,6210369,4758857,1617648,4749156,12810880
2007,6210369,4762236,1535438,4219198,13566996
2008,6210369,4775614,1517157,4111317,13830091
2009,6210369,4786078,1507680,4987218,12560466
2010,6229899,4877091,1470550,3718793,14512257
2011,6229899,4805742,1455111,3831442,13759374
2012,6227219,4811023,1380412,3947374,13649960
2013,6236331,4924756,1356913,3555741,14415256
2014,6203379,4823056,1357763,4465608,13005153
2015,6228562,4856088,1372264,4642716,12424735
2016,3739237,3473402,805492,2515679,7910070
2017,3739237,3479347,802438,2502349,7973475
2018,3731324,3457549,794517,2482353,7620229
2019,3702476,3435119,783289,2390146,7527257
2020,3702507,3440340,771277,2358489,7659531
2021,3688000,3416000,761000,2345000,8817000
2022,3688000,3417000,760000,2393000,8987000
2023,3688000,3426000,761000,2696000,8979000
