Reservoir,reservoir_id,district_id
SRISAILAM R,1,10
NAGARJUNA SAGAR,2,9
PULICHINTHALA PROJECT,3,9
PRAKASAM BARRAGE,4,13
YELERU,5,7
BRAHMAMSAGAR,6,26
TANDAVA,7,23
GUNDLAKAMMA,8,18
THOTAPALLI BARRAGE,9,24
GOTTA BARRAGE,10,21
SOMASILA,11,20
KANDALERU,12,20
GANDIKOTA,13,26
VELOGODU BALANCING,14,10
PENNA AHOBILAM BALANCING,15,3
CHITRAVATI BALANCING,16,26
MYLAVARAM(PENNAR),17,26
PAIDIPALEM BALANCING,18,26
SARVARAJA SAGAR,19,26
ALAGANURU BALANCING,20,10
VAMIKONDA SAGAR,21,26
YELLANUR SR2,22,3
THIMMAPURAM SR1,23,26
